Page URL,ILR,Schema.org (JSON-LD),Schema.org (Microdata),Open Graph,Twitter Cards,Microformats,Article items,Book items,Breadcrumb items,Carousel items,Course items,COVID-19 announcements (BETA) items,Dataset items,Employer Aggregate Rating items,Estimated salary items,Event items,Fact Check items,FAQ items,Guided recipe items,How-to items,Job posting items,Local Business items,Logo items,Merchant listing items,Movie items,Product snippet items,Product group items,Q&A items,Recipe on search items,Review snippet items,Sitelinks search box items,Site names items,Software App items,Vehicle listing items,Video items
https://bmi-raknare.se/,33,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
https://bmi-raknare.se/bmi-aldre/,67,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
https://bmi-raknare.se/bmi-barn/,67,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
https://bmi-raknare.se/bmi-formel/,67,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
https://bmi-raknare.se/bmi-gravid/,100,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
https://bmi-raknare.se/bmi-kvinna/,67,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
https://bmi-raknare.se/bmi-man/,67,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
https://bmi-raknare.se/bmi-ozempic-krav/,67,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://bmi-raknare.se/bmi-tabell/,67,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
https://bmi-raknare.se/idealvikt/,67,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
https://bmi-raknare.se/kalorier/,67,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
https://bmi-raknare.se/llms.txt,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://bmi-raknare.se/robots.txt,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://bmi-raknare.se/sitemap.xml,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://bmi-raknare.se/widget/,67,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
https://www.bmi-raknare.se/,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
